date,hosp,incid_hosp,rea,incid_rea,rad,incid_rad,pos,pos_7j,tx_pos,tx_incid,TO,pop,P,T,Ti,Tp,Td,incid_dchosp
2020-09-19,5493.0,470.0,827.0,73.0,92289.0,753.0,5223.0,75615.0,5.46,112.66,0.163503361012258,67114992.0,5223.0,94929.0,7.78,5.5,141.44,26.0
2020-09-20,5356.0,139.0,834.0,24.0,92552.0,266.0,1808.0,75853.0,5.48,113.02,0.164887307236062,67114992.0,1808.0,29836.0,2.69,6.06,44.46,12.0
2020-09-21,5597.0,754.0,912.0,143.0,92978.0,440.0,15656.0,76756.0,5.68,114.36,0.180308422301305,67114992.0,15656.0,243068.0,23.33,6.44,362.17,53.0
2020-09-22,5777.0,783.0,944.0,130.0,93508.0,538.0,14234.0,77455.0,5.94,115.41,0.186635033610123,67114992.0,14234.0,219126.0,21.21,6.5,326.49,68.0
2020-09-23,5913.0,649.0,995.0,124.0,93952.0,459.0,13008.0,76998.0,6.11,114.73,0.196718070383551,67114992.0,13008.0,202566.0,19.38,6.42,301.82,43.0
2020-09-24,6012.0,613.0,1041.0,124.0,94383.0,456.0,12736.0,75971.0,6.23,113.2,0.205812574139976,67114992.0,12736.0,203441.0,18.98,6.26,303.12,53.0
2020-09-25,6110.0,661.0,1092.0,129.0,94860.0,496.0,12289.0,74954.0,6.32,111.68,0.215895610913405,67114992.0,12289.0,209746.0,18.31,5.86,312.52,56.0
2020-09-26,6154.0,503.0,1105.0,89.0,95272.0,422.0,4810.0,74541.0,6.34,111.06,0.218465796757612,67114992.0,4810.0,84890.0,7.17,5.67,126.48,41.0
2020-09-27,6235.0,241.0,1112.0,47.0,95395.0,126.0,1391.0,74124.0,6.34,110.44,0.219849742981416,67114992.0,1391.0,23343.0,2.07,5.96,34.78,27.0
2020-09-28,6397.0,619.0,1158.0,137.0,95743.0,356.0,13736.0,72204.0,6.32,107.58,0.228944246737841,67114992.0,13736.0,218618.0,20.47,6.28,325.74,81.0
2020-09-29,6482.0,698.0,1198.0,165.0,96296.0,565.0,12800.0,70770.0,6.32,105.45,0.236852510873863,67114992.0,12800.0,195962.0,19.07,6.53,291.98,59.0
2020-09-30,6572.0,650.0,1232.0,135.0,96766.0,482.0,13353.0,71115.0,6.44,105.96,0.243574535389482,67114992.0,13353.0,187834.0,19.9,7.11,279.87,64.0
2020-10-01,6634.0,626.0,1259.0,142.0,97240.0,485.0,14651.0,73030.0,6.67,108.81,0.248912613681297,67114992.0,14651.0,191783.0,21.83,7.64,285.75,63.0
2020-10-02,6740.0,721.0,1270.0,120.0,97747.0,527.0,16212.0,76953.0,7.05,114.66,0.251087386318703,67114992.0,16212.0,205988.0,24.16,7.87,306.92,48.0
2020-10-03,6740.0,532.0,1289.0,103.0,98199.0,463.0,7235.0,79378.0,7.24,118.27,0.254843811783314,67114992.0,7235.0,89137.0,10.78,8.12,132.81,49.0
2020-10-04,6964.0,418.0,1335.0,91.0,98343.0,148.0,1986.0,79973.0,7.28,119.16,0.263938315539739,67114992.0,1986.0,25102.0,2.96,7.91,37.4,32.0
2020-10-05,7276.0,710.0,1409.0,152.0,98649.0,316.0,21460.0,87697.0,7.89,130.67,0.27856860419138,67114992.0,21460.0,235426.0,31.97,9.12,350.78,70.0
2020-10-06,7377.0,829.0,1417.0,168.0,99264.0,636.0,19677.0,94574.0,8.38,140.91,0.280150257018584,67114992.0,19677.0,213581.0,29.32,9.21,318.23,65.0
2020-10-07,7514.0,789.0,1406.0,143.0,99762.0,545.0,20736.0,101957.0,8.86,151.91,0.277975484381178,67114992.0,20736.0,209922.0,30.9,9.88,312.78,80.0
2020-10-08,7603.0,711.0,1418.0,114.0,100275.0,524.0,22560.0,109866.0,9.26,163.7,0.280347963621985,67114992.0,22560.0,226364.0,33.61,9.97,337.28,77.0
2020-10-09,7843.0,848.0,1439.0,150.0,100797.0,534.0,24088.0,117742.0,9.54,175.43,0.284499802293397,67114992.0,24088.0,253782.0,35.89,9.49,378.13,62.0
2020-10-10,7976.0,694.0,1456.0,110.0,101280.0,495.0,11333.0,121840.0,9.69,181.54,0.287860814551206,67114992.0,11333.0,112292.0,16.89,10.09,167.31,54.0
2020-10-11,8231.0,503.0,1483.0,73.0,101460.0,184.0,3235.0,123089.0,9.74,183.4,0.293198892843021,67114992.0,3235.0,31674.0,4.82,10.21,47.19,46.0
2020-10-12,8671.0,976.0,1539.0,171.0,101868.0,417.0,31731.0,133360.0,10.13,198.7,0.304270462633452,67114992.0,31731.0,292300.0,47.28,10.86,435.52,96.0
2020-10-13,8928.0,1168.0,1633.0,226.0,102649.0,802.0,28601.0,142283.0,10.39,212.0,0.322854883353104,67114992.0,28601.0,270090.0,42.61,10.59,402.43,87.0
2020-10-14,9173.0,1133.0,1664.0,193.0,103382.0,755.0,28815.0,150362.0,10.5,224.04,0.328983788058521,67114992.0,28815.0,273498.0,42.93,10.54,407.51,104.0
2020-10-15,9584.0,1207.0,1741.0,219.0,104051.0,687.0,32043.0,159845.0,10.65,238.17,0.344207196520364,67114992.0,32043.0,294280.0,47.74,10.89,438.47,88.0
2020-10-16,10021.0,1225.0,1791.0,212.0,104665.0,637.0,33625.0,169382.0,10.83,252.38,0.354092526690391,67114992.0,33625.0,314914.0,50.1,10.68,469.22,122.0
2020-10-17,10399.0,986.0,1868.0,175.0,105163.0,506.0,15307.0,173355.0,10.9,258.3,0.369315935152234,67114992.0,15307.0,137657.0,22.81,11.12,205.11,90.0
2020-10-18,10897.0,835.0,1939.0,147.0,105400.0,245.0,4708.0,174828.0,10.94,260.49,0.383353103993673,67114992.0,4708.0,39293.0,7.01,11.98,58.55,85.0
2020-10-19,11640.0,1424.0,2090.0,269.0,105904.0,517.0,45304.0,188401.0,11.45,280.71,0.413206801107157,67114992.0,45304.0,346473.0,67.5,13.08,516.24,146.0
2020-10-20,12435.0,1943.0,2168.0,278.0,106808.0,923.0,44374.0,204174.0,12.11,304.22,0.4286279161724,67114992.0,44374.0,313269.0,66.12,14.16,466.76,163.0
2020-10-21,13162.0,1754.0,2239.0,284.0,107621.0,825.0,46771.0,222130.0,12.81,330.97,0.44266508501384,67114992.0,46771.0,321839.0,69.69,14.53,479.53,166.0
2020-10-22,14009.0,1998.0,2310.0,262.0,108568.0,974.0,51137.0,241224.0,13.49,359.42,0.456702253855279,67114992.0,51137.0,347557.0,76.19,14.71,517.85,165.0
2020-10-23,14985.0,2091.0,2432.0,299.0,109455.0,908.0,55394.0,262993.0,14.2,391.85,0.480822459470146,67114992.0,55394.0,378514.0,82.54,14.63,563.98,184.0
2020-10-24,15637.0,1667.0,2491.0,233.0,110291.0,845.0,25167.0,272854.0,14.52,406.55,0.492487149070779,67114992.0,25167.0,162158.0,37.5,15.52,241.61,138.0
2020-10-25,16454.0,1298.0,2575.0,191.0,110629.0,344.0,7329.0,275475.0,14.61,410.45,0.509094503756426,67114992.0,7329.0,46107.0,10.92,15.9,68.7,116.0
2020-10-26,17761.0,2314.0,2761.0,357.0,111316.0,712.0,68787.0,298957.0,15.33,445.44,0.545867931988929,67114992.0,68787.0,418403.0,102.49,16.44,623.41,258.0
2020-10-27,18955.0,2988.0,2909.0,431.0,112685.0,1407.0,61563.0,316146.0,15.73,471.05,0.57512850929221,67114992.0,61563.0,376319.0,91.73,16.36,560.71,292.0
2020-10-28,20184.0,2821.0,3036.0,372.0,113946.0,1304.0,56947.0,326322.0,15.89,486.21,0.600237247924081,67114992.0,56947.0,367991.0,84.85,15.48,548.3,244.0
2020-10-29,21160.0,2607.0,3147.0,395.0,115256.0,1364.0,56206.0,331391.0,15.89,493.77,0.622182680901542,67114992.0,56206.0,377079.0,83.75,14.91,561.84,250.0
2020-10-30,22153.0,2563.0,3368.0,422.0,116502.0,1293.0,58610.0,334606.0,15.83,498.56,0.665875840253064,67114992.0,58610.0,401775.0,87.33,14.59,598.64,256.0
2020-10-31,23013.0,2274.0,3443.0,339.0,117563.0,1125.0,26293.0,335731.0,15.79,500.23,0.680703835508106,67114992.0,26293.0,172355.0,39.18,15.26,256.81,224.0
2020-11-01,24008.0,1883.0,3569.0,289.0,118196.0,651.0,6985.0,335387.0,15.77,499.72,0.705614867536576,67114992.0,6985.0,45714.0,10.41,15.28,68.11,231.0
2020-11-02,25120.0,2547.0,3721.0,430.0,119073.0,924.0,70130.0,336728.0,15.74,501.72,0.73566627125346,67114992.0,70130.0,436110.0,104.49,16.08,649.8,418.0
2020-11-03,26242.0,3311.0,3869.0,469.0,120683.0,1667.0,59119.0,334285.0,15.6,498.08,0.764926848556742,67114992.0,59119.0,383162.0,88.09,15.43,570.9,430.0
